,ldr_grau,distance,ldr_weiss,ldr_blau,ldr_gelb,ldr_lila,ldr_gruen,rotation_time,time,date
37606,511.0,33.0,511.0,511.0,366.0,503.0,511.0,678368300.0,13:38:25,2021-06-30
37607,511.0,33.0,511.0,511.0,350.0,500.0,511.0,678368300.0,13:38:26,2021-06-30
37608,511.0,33.0,511.0,511.0,361.0,477.0,511.0,678368300.0,13:38:27,2021-06-30
37609,511.0,33.0,511.0,511.0,370.0,503.0,511.0,678368300.0,13:38:28,2021-06-30
45482,511.0,33.0,511.0,511.0,368.0,508.0,511.0,678368300.0,13:38:29,2021-06-30
45483,511.0,33.0,511.0,511.0,378.0,506.0,511.0,678368300.0,13:38:30,2021-06-30
45484,511.0,33.0,511.0,511.0,361.0,484.0,511.0,678368300.0,13:38:31,2021-06-30
45485,511.0,33.0,511.0,511.0,369.0,498.0,511.0,678368300.0,13:38:32,2021-06-30
45486,511.0,33.0,511.0,511.0,382.0,500.0,511.0,678368300.0,13:38:33,2021-06-30
45487,511.0,33.0,511.0,511.0,388.0,499.0,511.0,678368300.0,13:38:34,2021-06-30
45488,511.0,33.0,511.0,511.0,376.0,480.0,511.0,678368300.0,13:38:35,2021-06-30
45489,511.0,33.0,511.0,511.0,382.0,459.0,511.0,678368300.0,13:38:36,2021-06-30
45490,511.0,33.0,511.0,511.0,374.0,501.0,511.0,678368300.0,13:38:37,2021-06-30
45491,511.0,33.0,511.0,511.0,382.0,478.0,511.0,678368300.0,13:38:38,2021-06-30
45492,511.0,33.0,511.0,511.0,385.0,496.0,511.0,678368300.0,13:38:39,2021-06-30
45493,511.0,33.0,511.0,511.0,367.0,496.0,511.0,678368300.0,13:38:40,2021-06-30
45494,511.0,33.0,511.0,511.0,364.0,479.0,511.0,678368300.0,13:38:41,2021-06-30
45495,511.0,33.0,511.0,511.0,387.0,496.0,511.0,678368300.0,13:38:42,2021-06-30
45496,511.0,33.0,511.0,511.0,386.0,504.0,511.0,678368323.0,13:38:43,2021-06-30
45497,511.0,33.0,511.0,511.0,378.0,504.0,511.0,678368323.0,13:38:44,2021-06-30
45498,511.0,33.0,511.0,511.0,392.0,502.0,511.0,678368323.0,13:38:45,2021-06-30
45499,511.0,33.0,511.0,511.0,379.0,511.0,511.0,678368323.0,13:38:46,2021-06-30
45500,511.0,33.0,511.0,511.0,383.0,504.0,511.0,678368323.0,13:38:47,2021-06-30
45501,511.0,33.0,511.0,511.0,388.0,505.0,511.0,678368323.0,13:38:48,2021-06-30
45502,511.0,33.0,511.0,511.0,386.0,492.0,511.0,678368323.0,13:38:49,2021-06-30
45503,511.0,33.0,511.0,511.0,372.0,502.0,511.0,678368323.0,13:38:50,2021-06-30
45504,511.0,33.0,511.0,511.0,382.0,496.0,511.0,678368323.0,13:38:51,2021-06-30
45505,511.0,33.0,511.0,511.0,367.0,503.0,511.0,678368323.0,13:38:52,2021-06-30
45506,511.0,33.0,511.0,511.0,382.0,511.0,511.0,678368323.0,13:38:53,2021-06-30
45507,511.0,33.0,511.0,511.0,388.0,511.0,511.0,678368323.0,13:38:54,2021-06-30
45508,511.0,33.0,511.0,511.0,385.0,506.0,511.0,678368323.0,13:38:55,2021-06-30
45509,511.0,33.0,511.0,511.0,362.0,493.0,511.0,678368323.0,13:38:56,2021-06-30
45510,511.0,33.0,511.0,511.0,392.0,505.0,511.0,678368323.0,13:38:57,2021-06-30
45511,511.0,33.0,511.0,511.0,378.0,511.0,511.0,678368323.0,13:38:58,2021-06-30
38701,511.0,33.0,511.0,511.0,378.0,498.0,511.0,678368323.0,13:38:59,2021-06-30
38702,511.0,33.0,511.0,511.0,372.0,498.0,511.0,678368323.0,13:39:00,2021-06-30
38703,511.0,33.0,511.0,511.0,361.0,501.0,511.0,678368323.0,13:39:01,2021-06-30
38704,511.0,33.0,511.0,511.0,384.0,501.0,511.0,678368323.0,13:39:02,2021-06-30
38705,511.0,33.0,511.0,511.0,385.0,506.0,511.0,678368323.0,13:39:03,2021-06-30
38706,511.0,33.0,511.0,511.0,388.0,511.0,511.0,678368323.0,13:39:04,2021-06-30
38707,511.0,33.0,511.0,511.0,379.0,504.0,511.0,678368323.0,13:39:05,2021-06-30
38708,511.0,33.0,511.0,511.0,373.0,511.0,511.0,678368346.0,13:39:06,2021-06-30
38709,511.0,33.0,511.0,511.0,372.0,491.0,511.0,678368346.0,13:39:07,2021-06-30
38710,511.0,33.0,511.0,511.0,398.0,484.0,511.0,678368346.0,13:39:08,2021-06-30
38711,511.0,33.0,511.0,511.0,385.0,506.0,511.0,678368346.0,13:39:09,2021-06-30
